scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cone_r04_d12,3,proxy_top,39,"0,2,12",0.00022538681514561176,0
conf_cone_r04_d12,3,proxy_top,169,"0,7,12",0.00021468117483891547,0
conf_cone_r04_d12,3,proxy_top,263,"0,11,20",0.0002226967189926654,0
conf_cone_r04_d12,3,proxy_top,150,"0,6,17",0.0001977489737328142,0
conf_cone_r04_d12,3,proxy_top,57,"0,2,30",0.00023339621839113533,0
conf_cone_r04_d12,3,proxy_top,153,"0,6,20",0.00020913491607643664,0
conf_cone_r04_d12,3,proxy_top,292,"0,12,30",0.00022408941003959626,0
conf_cone_r04_d12,3,proxy_top,316,"0,14,19",0.0002106736064888537,0
conf_cone_r04_d12,3,proxy_top,321,"0,14,24",0.0002276562008773908,0
conf_cone_r04_d12,3,proxy_top,82,"0,3,27",0.00023775399313308299,0
conf_cone_r04_d12,3,proxy_top,28,"0,1,30",0.00021290278527885675,0
conf_cone_r04_d12,3,proxy_top,400,"0,20,22",0.00021998559532221407,0
conf_cone_r04_d12,3,proxy_top,181,"0,7,24",0.00023149624757934362,0
conf_cone_r04_d12,3,random,389,"0,19,22",0.0002153391542378813,0
conf_cone_r04_d12,3,random,419,"0,21,31",0.00026862689992412925,0
conf_cone_r04_d12,3,random,415,"0,21,27",0.0002628929214552045,0
conf_cone_r04_d12,3,random,154,"0,6,21",0.00025058104074560106,0
conf_cone_r04_d12,3,random,480,"1,2,18",0.0001647114841034636,0
conf_cone_r04_d12,3,random,4,"0,1,6",0.00018353137420490384,0
conf_cone_r04_d12,3,random,304,"0,13,24",0.00028896142612211406,0
conf_cone_r04_d12,3,random,216,"0,9,14",0.0002020847168751061,0
conf_cone_r04_d12,3,random,412,"0,21,24",0.00027014940860681236,0
conf_cone_r04_d12,3,random,138,"0,5,30",0.0002721911296248436,0
conf_cone_r04_d12,3,random,326,"0,14,29",0.00023622305889148265,0
conf_cone_r04_d12,3,random,217,"0,9,15",0.00021588147501461208,0
conf_cone_r04_d12,3,random,354,"0,16,26",0.00026903051184490323,0
conf_cone_r04_d12,3,random,202,"0,8,22",0.00028940237825736403,0
conf_cone_r04_d12,3,random,35,"0,2,8",0.0002943751460406929,0
conf_cone_r04_d12,3,random,261,"0,11,18",0.00025180401280522346,0
conf_cone_r04_d12,3,random,224,"0,9,22",0.00020687449432443827,0
conf_cone_r04_d12,3,random,85,"0,3,30",0.00024527229834347963,0
conf_cone_r04_d12,3,random,485,"1,2,23",0.00013769944780506194,0
conf_cone_r04_d12,3,random,401,"0,20,23",0.00023594149388372898,0
conf_cone_r04_d12,3,random,9,"0,1,11",0.00020102839334867895,0
conf_cone_r04_d12,3,random,352,"0,16,24",0.0002609191578812897,0
conf_cone_r04_d12,3,random,162,"0,6,29",0.00022946434910409153,0
conf_cone_r04_d12,3,random,429,"0,23,24",0.0002428967272862792,0
conf_cone_r04_d12,3,random,482,"1,2,20",0.0001226514286827296,0
conf_cone_r04_d12,3,random,477,"1,2,15",0.00012322929978836328,0
conf_cone_r04_d12,3,random,395,"0,19,28",0.00022514097508974373,0
conf_cone_r04_d12,3,random,381,"0,18,26",0.0002681054756976664,0
conf_cone_r04_d12,3,random,300,"0,13,20",0.00028170121368020773,0
conf_cone_r04_d12,3,random,71,"0,3,16",0.00026300802710466087,0
conf_cone_r04_d12,3,random,49,"0,2,22",0.00022432697005569935,0
conf_cone_r04_d12,3,random,20,"0,1,22",0.0002007960865739733,0
conf_cone_r04_d12,3,random,131,"0,5,23",0.00027300373767502606,0
conf_cone_r04_d12,3,random,348,"0,16,20",0.0002565974718891084,0
conf_cone_r04_d12,3,random,117,"0,5,9",0.0002583829627837986,0
conf_cone_r04_d12,3,random,239,"0,10,16",0.000271401135250926,0
conf_cone_r04_d12,3,random,362,"0,17,20",0.00021879139239899814,0
conf_cone_r04_d12,3,random,46,"0,2,19",0.00022602608078159392,0
conf_cone_r04_d12,3,random,302,"0,13,22",0.00027774745831266046,0
conf_cone_r04_d12,3,random,285,"0,12,23",0.0002310642448719591,0
conf_cone_r04_d12,3,random,240,"0,10,17",0.00024096315610222518,0
conf_cone_r04_d12,3,random,47,"0,2,20",0.00023050306481309235,0
conf_cone_r04_d12,3,random,221,"0,9,19",0.00021095972624607384,0
conf_cone_r04_d12,3,random,187,"0,7,30",0.00022458068269770592,0
conf_cone_r04_d12,3,random,374,"0,18,19",0.0002513479848857969,0
conf_cone_r04_d12,3,random,207,"0,8,27",0.000292068172711879,0
conf_cone_r04_d12,3,random,329,"0,15,16",0.0002519550616852939,0
conf_cone_r04_d12,3,random,51,"0,2,24",0.00023992604110389948,0
conf_cone_r04_d12,3,random,368,"0,17,26",0.00024353092885576189,0
conf_cone_r04_d12,3,random,88,"0,4,6",0.00019447745580691844,0
conf_cube_plus_cone,3,proxy_top,228,"0,9,26",0.00017787120305001736,0
conf_cube_plus_cone,3,proxy_top,108,"0,4,26",0.00016027982928790152,0
conf_cube_plus_cone,3,proxy_top,159,"0,6,26",0.00015581928892061114,0
conf_cube_plus_cone,3,proxy_top,24,"0,1,26",0.00015462946612387896,0
conf_cube_plus_cone,3,proxy_top,29,"0,1,31",0.00014466587163042277,0
conf_cube_plus_cone,3,proxy_top,27,"0,1,29",0.00040436512790620327,0
conf_cube_plus_cone,3,proxy_top,111,"0,4,29",0.0004090543952770531,0
conf_cube_plus_cone,3,proxy_top,363,"0,17,21",0.00017819282948039472,0
conf_cube_plus_cone,3,proxy_top,231,"0,9,29",0.00042782974196597934,0
conf_cube_plus_cone,3,proxy_top,113,"0,4,31",0.00015149181126616895,0
conf_cube_plus_cone,3,proxy_top,162,"0,6,29",0.0004052193253301084,0
conf_cube_plus_cone,3,proxy_top,106,"0,4,24",0.0005687407683581114,0
conf_cube_plus_cone,3,proxy_top,226,"0,9,24",0.0005633964901790023,0
conf_cube_plus_cone,3,proxy_top,368,"0,17,26",0.0001602131233084947,0
conf_cube_plus_cone,3,proxy_top,388,"0,19,21",0.0003159053158015013,0
